Gene,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
71743,18.42036549,17.52204195,19.46206396,23.30585526,19.76833979,21.22790212,21.09166094,20.27268539,20.34134947,20.57665839,20.65915767,19.14457672,21.97272799,19.40733798
71760,31.24947026,19.67241752,23.06082681,22.93831305,16.46276023,20.43228855,16.26302567,16.06542159,11.95143338,11.99747266,13.40215394,17.57499487,9.329038556,18.06002664
71761,0.172733639,0.163737265,0.040012834,0.121315571,0.039588654,0.260638008,0.260722298,0.138052604,0.109053295,0.145912091,0.051182043,0.135513553,0.121488252,0.059967606
71780,44.72452515,35.15382157,38.111767,46.16735426,61.47736366,51.96508616,46.74244698,47.91291564,43.12422286,48.92301051,51.81548346,44.72658022,49.99625941,49.99512515
71803,123.8525642,135.6333534,130.6259515,163.202865,79.7181992,117.1766805,128.6243533,126.6731205,100.4526043,129.7947577,117.1813342,116.5434001,112.5088664,110.7978613
71854,0,0,0,0,0,0,0.030039676,0,0,0.03820812,0.018428276,0.039033707,0,0
71910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71934,6.093650571,5.235487543,3.328758014,4.088107845,2.64033422,4.213101732,4.327032996,4.884720264,2.743409023,3.380413123,5.349386171,2.597227169,3.675229785,3.631118082
71949,23.36854347,20.68418706,22.22583033,24.50305672,26.96912811,27.49733561,26.19640783,24.35447877,24.26666739,24.2078427,27.04228238,23.52679024,25.37964473,27.75952021
72017,10.87243383,9.786947377,10.09392056,10.61759785,10.9229621,11.03582563,11.71086294,12.24815022,11.90074502,12.83254191,11.86893927,10.75109002,11.97415359,12.80195866
72039,21.14118742,16.11197784,17.11595021,17.50193706,18.31888183,19.99841642,18.91293739,19.51238377,16.59412383,18.20903757,18.78238709,15.67105672,19.92136503,19.04380397
72054,0.740726007,0.174842992,0.678880827,0.522494066,0.051667996,0.748361272,0.095276782,0.216210471,0.490240125,1.056037415,0.166996935,0.336037084,0.836027313,0.489156245
72077,0,0.008378769,0.030030558,0,0,0,0,0,0,0.014933236,0,0,0.024867203,0.02531648
72090,0,0,0,0.021635727,0,0,0,0.012310326,0.043219649,0,0,0,0,0.040105407
72102,22.03048245,15.11019481,19.11467412,19.21251309,22.45856743,20.30382707,19.48740097,19.56174312,18.22561945,21.28456612,21.0750504,16.93002621,22.06911751,26.23683232
72157,9.426184228,8.276922149,8.456408749,8.198513747,7.484760323,9.992519444,9.381000225,10.50861925,9.718455031,9.924778865,9.668725553,8.126479639,8.77612022,10.79954955
72269,7.532581389,3.551480684,4.367777795,5.476817836,2.16073728,4.846847063,6.513341781,4.843845706,4.988424368,5.833253949,5.656839666,6.59326461,6.200222548,6.838262514
72297,0.909042895,0.325584681,0.706303583,0.391048024,0.243066431,0.975161677,0.516252466,0.572140406,0.753261137,0.763526502,0.206224936,0.670821083,0.762866184,0.517765954
72303,0,0.074765733,0.033496221,0,0,0,0,0.06934136,0,0.0333132,0.016067392,0.05104953,0,0
72401,0.07838676,0.094568973,0.112982356,0.071936144,0.100606157,0.215265746,0.092759849,0.105249412,0.128303606,0.129219781,0.081292682,0.097574025,0.116945678,0.133345567
72469,12.87965239,12.19291829,12.01014762,12.78521314,10.3197926,10.83289684,10.03832024,9.722382085,9.925424781,10.68571204,10.25293754,10.62652708,10.25250107,11.55291035
72472,1.539492329,1.429724852,1.406791613,1.530053846,1.368186537,1.555869747,2.06892279,2.181077577,2.012249629,1.79204511,1.889458558,1.17996278,1.839074632,1.897534469
72535,6.512254685,7.150961722,7.475400378,9.304492538,12.47058117,9.32228319,10.51465118,10.12275223,9.676320737,9.125497305,9.490193114,8.451799834,9.401512388,9.097539847
72727,161.8720574,165.0142776,172.4639882,183.5243473,146.7295241,161.5348173,164.1536837,160.0774524,143.6533654,164.9624712,169.7884753,164.1006318,161.0654002,169.801684
72900,173.0242168,141.4138615,129.2750133,130.2338142,129.7829087,148.4763378,149.8406946,137.5698428,118.2700526,126.083464,134.4348826,129.3189082,120.3768145,120.9785649
72961,610.4412583,736.2036493,800.9964263,823.9129725,742.9904089,841.0353313,607.5410428,629.6491795,857.8414967,716.4060418,643.5061837,695.9077916,877.6565064,826.1740454
73068,12.38056991,11.95129351,14.21393717,14.67646685,16.0600066,16.33177322,13.96813475,13.41299117,14.11499892,15.01979012,14.74786691,13.13686778,14.89645649,17.85464176
73132,18.38045984,20.61300145,20.72396341,21.21236764,21.74916857,20.75517377,19.39792805,17.87781794,19.35313092,18.70356729,19.09412823,18.32835908,20.4034673,20.99520982
73166,13.51206551,13.69491918,15.21836012,16.72533628,15.74477373,14.30808404,16.03023661,16.07811977,16.22537124,16.13992023,16.07580372,14.59590649,16.74607323,18.89777369
73251,51.20513236,41.78608636,52.96717534,50.88568789,46.0355567,50.01993971,39.46382305,39.28299289,45.22791034,46.06074703,45.72919103,42.16199215,59.99523815,54.50183129
