Gene,mouseID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,expression
Cfap44,212517,514.9703179,-0.765816481,0.204790348,-3.73951452,0.000184376,0.19549265,downregulated
Cfap54,380654,701.3824923,-0.628854806,0.231417839,-2.717399872,0.006579706,0.810554916,downregulated
Cfap65,241116,542.4110714,-0.726678855,0.265763337,-2.734308143,0.006251151,0.80142092,downregulated
Cfap95,67483,53.24193285,-1.286124577,0.446014075,-2.883596394,0.003931623,0.687758807,downregulated
Cfap99,100862066,74.40023059,-1.099018674,0.399696613,-2.749632192,0.005966219,0.796695213,downregulated
Chd7,320790,1628.624648,-0.45770039,0.170979073,-2.676938063,0.007429837,0.834522625,downregulated
Ciart,229599,605.9351733,-0.497428838,0.171920683,-2.893362398,0.003811413,0.687758807,downregulated
Cimip5,73667,271.7530052,-0.954167562,0.272831333,-3.497279987,0.000470028,0.308529549,downregulated
Cltrn,57394,18.72251336,-3.02590902,0.878230912,-3.445459478,0.000570089,0.319080154,downregulated
Cnmd,16840,117.3893672,-1.480773268,0.303270179,-4.882686698,1.04650076287024e-06,0.004576609,downregulated
Cryzl2,226527,897.3988325,-0.356489649,0.126077278,-2.827548749,0.004690587,0.72935632,downregulated
Dao,13142,89.92519705,-1.879757722,0.65124802,-2.886392995,0.003896852,0.687758807,downregulated
Dbp,13170,4700.680758,-0.288424856,0.08386686,-3.43908018,0.000583694,0.319080154,downregulated
Dnah11,13411,254.1206307,-1.472180369,0.294238463,-5.003358002,5.6340170401423e-07,0.004576609,downregulated
Dnah12,110083,230.3322286,-1.228573161,0.379615159,-3.236364864,0.001210625,0.441197269,downregulated
Dnah2,327954,350.9601475,-0.723614732,0.261806781,-2.763926625,0.005711038,0.792882445,downregulated
Dnah3,381917,151.8000317,-1.459656746,0.361922902,-4.033059907,5.50552371571356e-05,0.106076294,downregulated
Dnah5,110082,529.8965636,-0.528795848,0.167275758,-3.161222255,0.001571086,0.488829032,downregulated
Dnah9,237806,660.9533341,-0.660777257,0.212998066,-3.102268806,0.001920435,0.516833347,downregulated
Dnali1,75563,205.327245,-1.140513863,0.301562016,-3.782020955,0.00015556,0.194372549,downregulated
Dthd1,100322896,23.8725573,-2.572004367,0.969533474,-2.652826783,0.007982082,0.853593692,downregulated
Dynlrb2,75465,136.2280211,-1.127161272,0.431114723,-2.61452744,0.008935098,0.871128646,downregulated
Fat1,14107,3984.267991,-0.317123753,0.116075097,-2.732056761,0.00629403,0.80142092,downregulated
Fgf7,14178,88.1897731,-1.170862905,0.424057961,-2.761091673,0.00576085,0.793500434,downregulated
Fhad1,329977,420.617801,-0.79326018,0.182430018,-4.348298528,1.3719777190328e-05,0.034122277,downregulated
Flvcr1,226844,775.8296434,-0.386430472,0.137463208,-2.811155636,0.00493639,0.738053612,downregulated
Frmpd2,268729,158.7508504,-1.213023037,0.407400369,-2.977471623,0.002906365,0.667005934,downregulated
Gbp6,100702,101.4046566,-1.345296259,0.476497005,-2.823304752,0.004753137,0.72935632,downregulated
Gm867,333670,84.96531153,-1.212294475,0.457969109,-2.647109712,0.008118301,0.853593692,downregulated
Gmps,229363,4307.712356,-0.269759653,0.082382684,-3.274470323,0.001058603,0.433858608,downregulated
Gnat2,14686,14.74114005,-2.780197971,0.93003937,-2.989333637,0.002795867,0.660920184,downregulated
Gpr137c,70713,2141.527219,-0.295752907,0.094737429,-3.121816886,0.001797387,0.516833347,downregulated
H2ac13,319191,6.653297094,-5.916070029,1.794799269,-3.29622935,0.00097992,0.431206163,downregulated
Heatr3,234549,1602.742647,-0.254206123,0.085740188,-2.964842159,0.003028383,0.667005934,downregulated
Hydin,244653,329.7807579,-1.115103598,0.351194122,-3.175177282,0.00149745,0.485090557,downregulated
Iqca1,74918,125.3085802,-1.072002768,0.375856367,-2.852160724,0.004342314,0.724809085,downregulated
