Gene,B4APH9540922,B4APH9550922,B4APH9500922,B4APH9560922,B4APH9690922,B4AP9010922,B4AP8920922,B4AP9020922,B4AP9530922,B4AP9060922,B4AP9200922,B4AP9480922,B4AP9490922,B4AP9750922,B4AP9400922
Bnip5,310.1445552,420.1671095,292.989731,371.144651,421.1129367,506.2229764,518.1084713,602.3571069,388.1604602,400.5480874,481.8706695,299.2126075,658.4570131,437.313354,534.3792159
Bnipl,6.115526441,0,15.78395857,6.362479732,10.96172503,7.016952149,13.94907423,0,12.21812587,9.841476348,1.040757386,5.212763198,28.58418041,6.527064985,0
Boc,1041.386788,869.4547117,908.5641152,1071.017422,1125.40377,1045.52587,1291.285728,893.5568528,1700.199207,951.6707628,1228.093715,837.1697695,1029.030495,1237.966659,1288.671946
Bod1,3849.287071,4041.508385,3775.325591,3776.131721,3697.755245,3402.21937,4308.271211,4030.531063,3830.852387,3330.355596,3438.662402,3360.147157,3662.858547,3991.300238,4142.235711
Bod1l,4824.276715,4775.760809,4484.617229,5004.090309,4913.593246,4403.638684,4424.845617,5624.418769,4514.127579,4539.873039,4667.796874,4674.806036,4210.04143,4227.362422,4009.437696
Bok,1911.538836,2513.722534,1867.439598,1995.697809,2307.44312,1761.254989,1713.743405,1542.17934,1531.965012,2297.984727,1715.168171,1708.743776,2111.145896,2367.148901,2289.437794
Bola1,600.1952378,697.8518081,627.4123532,643.6708662,358.9964949,471.1382157,753.2500083,424.5529006,548.8758081,743.0314643,578.6611063,519.1912145,800.3570516,864.8361105,873.2797525
Bola2,2258.37655,2010.354016,2153.523847,2707.235126,1718.250399,1974.770819,2045.532099,1713.633396,1970.877688,1689.781489,1692.271509,2072.594647,2288.77616,2126.735341,2817.442705
Bola3,1134.866978,1111.778812,1338.676986,1199.327429,1152.808083,1206.91577,1156.776798,767.4610126,1122.187868,1002.84644,894.0105942,1142.637693,1165.826215,1155.290502,1037.949292
Boll,0,0,15.78395857,0,0,0,0,0,3.759423343,0.984147635,0,2.085105279,0,0,0
Bop1,1998.029853,2509.562463,1831.925692,2206.720054,2255.374926,2055.96698,2297.611798,2312.361845,2476.520127,2325.540861,2184.549752,2420.807229,2393.92511,1873.267651,2454.107334
Bora,226.2744783,140.4023757,171.6505495,126.1891813,198.2245277,196.4746602,176.3561527,203.2048071,265.0393457,176.1624266,230.0073822,151.1701327,309.3216666,211.0417678,129.6108635
Borcs5,1665.170485,1639.067734,1633.639712,1326.577024,1461.563338,1422.436443,1418.820121,1695.490109,1830.839168,1771.465743,1496.60912,1667.041671,1163.784488,1822.138975,1633.946787
Borcs6,1031.776675,1564.186467,1151.242478,1167.515031,1036.796493,1022.47017,1330.143864,1156.634505,1231.211145,1162.278357,1267.642496,1098.850482,984.1124971,992.1138777,1348.165457
Borcs7,1375.119803,1390.503528,1347.555463,1531.236789,1378.436923,1788.320376,1639.016222,1743.569818,1515.047607,1633.685074,1414.389287,1572.16938,1144.38808,1390.264842,1307.79486
Borcs8,1076.332654,1088.898425,1028.916799,1051.929982,1042.277355,1007.433844,961.4897592,742.0604118,935.1565566,933.9561054,946.0484634,1066.53135,1003.508905,887.6808379,1069.820816
Bpgm,4356.002119,3750.303457,4289.290741,3519.511705,3579.916701,5001.082039,4022.31519,3872.684472,4299.840449,4348.948398,3896.595651,4503.827403,4313.148652,4356.815877,4201.729223
Bphl,1541.98631,1644.267822,1419.569774,1288.402146,1145.500266,1308.160365,1312.20934,1524.943218,1371.249664,1334.504193,1184.381905,1448.105616,1220.952849,1346.751075,1527.708375
Bpifa1,0,0,25.64893268,0,3.653908345,0,27.89814845,48.98687315,306.3930025,0,4.163029542,4.170210558,8.16690869,0,0
Bpifa5,0,0,5.918984464,1.060413289,0,15.03632603,21.91997379,0,9.398558358,0,0,0,6.125181517,0,8.499073017
Bpifa6,0,1.040017598,0,0,0,0,63.76719647,9.071643175,4.699279179,0,0,0,6.125181517,0,0
Bpifb1,6.989173075,24.96042234,17.75695339,9.543719598,10.96172503,10.02421736,33.87632312,32.65791543,13.1579817,0.984147635,1.040757386,40.65955294,22.4589989,6.527064985,27.6219873
Bpifb3,0,0,0,0,0,0,29.89087334,0,123.1211145,0,0,0,13.27122662,0,0
Bpifb4,0,0,13.81096375,14.84578604,0,0,37.8617729,0,147.5573662,31.49272431,1.040757386,4.170210558,14.29209021,6.527064985,13.81099365
