Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
5031439G07Rik,10469.20503,0.04668158,0.087413408,0.534032265,0.593319212,0.99947604
5730409E04Rik,4880.915904,0.003435157,0.081229057,0.042289753,0.966267714,0.99947604
5730455P16Rik,4564.746429,-0.056805294,0.080107732,-0.709111243,0.478255446,0.99947604
5730480H06Rik,483.6616783,0.228859123,0.186893505,1.224542944,0.220747476,0.99947604
5730507C01Rik,6.998333488,-0.60279284,1.59304261,-0.378390908,0.705140221,0.99947604
5730522E02Rik,113.9062623,0.163505418,0.322489215,0.507010499,0.612147452,0.99947604
6030458C11Rik,2093.074817,-0.052386103,0.094513479,-0.554271244,0.579393227,0.99947604
6030468B19Rik,13.01095751,0.447352202,0.880165399,0.508259246,0.611271547,0.99947604
6030498E09Rik,1.720469257,0.452152947,2.550272567,0.17729593,0.859275947,0.99947604
6330403K07Rik,14251.14639,-0.121237075,0.109113322,-1.111111578,0.266520325,0.99947604
6330411D24Rik,36.41907643,-0.794388332,0.608320116,-1.305872206,0.19159602,0.99947604
6430548M08Rik,16114.23808,-0.020458564,0.069581356,-0.29402365,0.768739832,0.99947604
6430550D23Rik,61.64776898,-0.451525732,0.425886433,-1.060202197,0.289052622,0.99947604
6430571L13Rik,333.3738421,-0.244650124,0.232082194,-1.054152924,0.291812909,0.99947604
6820408C15Rik,156.1633651,-0.480768881,0.376049807,-1.278471286,0.201083303,0.99947604
8030474K03Rik,0.998336033,1.655622211,3.720811923,0.444962617,0.65634677,0.99947604
9030624G23Rik,14.59661376,0.573153987,1.027653743,0.557730648,0.577028327,0.99947604
9130008F23Rik,11.92278329,2.009265836,1.046439293,1.92009785,0.054845541,0.99947604
9130019O22Rik,215.5631115,0.147390253,0.218655664,0.674074707,0.500263819,0.99947604
9130023H24Rik,215.3527569,-0.112802818,0.204351129,-0.552004866,0.58094502,0.99947604
9130401M01Rik,752.6870843,0.01756761,0.129619292,0.135532373,0.89219097,0.99947604
9330159F19Rik,3859.235823,0.049414612,0.079888086,0.618547949,0.536214201,0.99947604
9430015G10Rik,835.2415103,0.144419736,0.145424877,0.993088246,0.320666952,0.99947604
9430038I01Rik,145.3170797,-0.386499279,0.30969676,-1.247992646,0.21203375,0.99947604
9430069I07Rik,2.307405984,-4.332625845,2.677571708,-1.618117577,0.105637261,0.99947604
9530068E07Rik,5369.59007,0.011569416,0.065228134,0.177368498,0.85921895,0.99947604
9930012K11Rik,112.1164841,0.437991343,0.314635543,1.392059328,0.163904433,0.99947604
9930021J03Rik,3305.883424,-0.075469564,0.072851629,-1.035935162,0.300232392,0.99947604
9930111J21Rik1,124.8778189,0.019254904,0.351992413,0.054702612,0.956375388,0.99947604
9930111J21Rik2,224.3994241,0.02372714,0.286548762,0.082803149,0.934008065,0.99947604
a,1.652929329,1.56112846,2.986807979,0.522674531,0.601200765,0.99947604
A030005L19Rik,14.21408387,0.31751271,1.059070472,0.299803194,0.764327279,0.99947604
A130010J15Rik,327.2865345,0.050513083,0.228035461,0.221514156,0.824692115,0.99947604
A1cf,2.006463809,-0.875778692,2.62104006,-0.334134035,0.738278418,0.99947604
A2m,1436.196934,-0.463508344,0.343457192,-1.349537453,0.177164399,0.99947604
