reaction_id,reaction_name,subsystem,genes,minimum,maximum
r1956,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
DURIK1m,"Deoxyuridine kinase (ATP:Deoxyuridine), mitochondrial",Nucleotide interconversion,57813,0.0,1.95179864691193e-12
ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,Tryptophan metabolism,110446;97212;231086,0.0,0.0
r0716_1,(S)-3-Hydroxyhexadecanoyl Coenzyme A Hydro-Lyase,Miscellaneous,74147;93747;97212,0.0,8.16065433698708e-12
CO2t,CO2 transporter via diffusion,"Transport, extracellular",,-1000.0,800.0000000000057
r0283,L-Histidine:beta-alanine ligase (AMP-forming) Alanine and aspartate metabolism / Histidine metabolism / beta-Alanine metabolism EC:6.3.2.11,Beta-Alanine metabolism,107239,0.0,0.0
ABUTD,Aminobutyraldehyde dehydrogenase,Beta-Alanine metabolism,56752,0.0,0.0
GD1Cte,Gd1c hs  transport,"Transport, extracellular",,0.0,0.0
ACACtx,"Acetoacetate transport via diffusion, glyoxysome","Transport, peroxisomal",,-3.637978807091713e-12,0.0
D3AIBTm,"D-3-Amino-isobutanoate:pyruvate aminotransferase, mitochondrial",Pyrimidine catabolism,268782,-1000.0,1000.0
PCHOLOLE_HSt1e,"Transport of 1-Oleoylglycerophosphocholine (Delta 9), Vescicular","Transport, extracellular",,0.0,0.0
PHETHPTOX2,"L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)",Phenylalanine metabolism,18478,0.0,0.0
r1738,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
HMR_2702,Carnitine O-Palmitoyltransferase,Fatty acid oxidation,12894;12895;78070,-1000.0,0.0
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, leucine, and isoleucine metabolism",,18.787547154919253,18.78754715499474
ADNt2,Adenosine transport in via proton symport,"Transport, extracellular",114304;243328,-1000.0,1000.0
EX_sphmyln181201_hs_e,Exchange of Sphingomyelin (D18:1/20:1),Exchange/demand reaction,,0.0,3.2214231282523542e-12
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, extracellular",,-1000.0,1000.0
ACACT4m,Acetyl-CoA C-acyltransferase (C10:0),Fatty acid oxidation,52538;235674;231086,0.0,1.731537989913844e-12
