reaction_id,reaction_name,subsystem,genes,minimum,maximum
HMR_3696,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
EBP1r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,0.0
PEPALM_HSASBCt,Transport of 1-Palmitoylglycerophosphocholine,"Transport, extracellular",54667;11303;54670;11982;18670,0.0,0.0
HMR_0428,HMR 0428,"Transport, extracellular",14080;12140;14077;16592;26457;16204;12491;225579;26568;26569;75497;11770;21884,0.0,0.0
HMR_0824,"Lactosylceramide Alpha-2, 3-Sialyltransferase",Glycosphingolipid metabolism,20454,0.0,0.0
r1448,Acyl-CoA Oxidase,Fatty acid oxidation,11430;80911,0.0,0.0
r1253,Long-Chain-Fatty-Acid---Coa Ligase,Fatty acid oxidation,433256;26458;328845;14081;216739;74205;50790,0.0,8.668621376273222e-13
RE2626M,RE2626M,Bile acid synthesis,104086,0.0,1000.0
TPI,Triose-phosphate isomerase,Glycolysis/gluconeogenesis,21991,260.8156432841778,260.81564328416283
HMR_3694,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,-1.0800249583553523e-12
HMR_2261,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,Fatty acid synthesis,67044;70757;30963;57874;66775,0.0,0.0
CPPPGO,Coproporphyrinogen oxidase (O2 required),Heme synthesis,12892,0.0,0.0
HMR_0192,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,-1.8189894035458565e-12
HMR_0847,Exo-Alpha-Sialidase,Glycosphingolipid metabolism,241159;50877;23956;18010,0.0,0.0
HMR_2689,Carnitine O-Acetyltransferase,"Transport, mitochondrial",12896;12908,0.0,0.0
HMR_0305,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
HMR_0245,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
PAPStg,3'-Phosphoadenylyl sufate Golgi transport,"Transport, golgi apparatus",73836,0.0,0.0
S6T2g,"Galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus",Keratan sulfate synthesis,54371;26887;56773,0.0,0.0
